sidecar_name,path,row_count,document_count,owner_rule,contract_layer,sidecar_truth_kind,intended_dataset,expected_detector_positive,allowed_for_independent_sidecar_eval,source_candidate,notes
rule_contract_control_gap.csv,,,,,contract_truth,contract_context,contract,True,False,v126,"Hard exception rule-truth documents excluding injected/manipulated issue truth, split for UI/evaluation handling."
rule_contract_exception_context.csv,,,,,contract_truth,contract_context,contract,True,False,v126,"Hard exception rule-truth documents excluding injected/manipulated issue truth, split for UI/evaluation handling."
rule_contract_hard_error.csv,,,,,contract_truth,contract_context,contract,True,False,v126,"Hard exception rule-truth documents excluding injected/manipulated issue truth, split for UI/evaluation handling."
rule_contract_review_required.csv,,,,,contract_truth,contract_context,contract,True,False,v126,"Hard exception rule-truth documents excluding injected/manipulated issue truth, split for UI/evaluation handling."
rule_contract_system_policy_exception.csv,,,,,contract_truth,contract_context,contract,True,False,v126,"Hard exception rule-truth documents excluding injected/manipulated issue truth, split for UI/evaluation handling."
account_activity_variance_truth,labels/account_activity_variance_truth.csv,336.0,336.0,D01,contract_truth,detector_contract_or_rule_truth,contract,true,True,v126,
benford_finding_truth,labels/benford_finding_truth.csv,99.0,,L4-02,contract_truth,detector_contract_or_rule_truth,contract,true,False,v126,
field_contract_truth,labels/field_contract_truth.csv,1207.0,1174.0,unclassified,contract_truth,detector_contract_or_rule_truth,contract,,False,v126,
intercompany_population_truth,labels/intercompany_population_truth.csv,30377.0,30377.0,unclassified,contract_truth,detector_contract_or_rule_truth,contract,,False,v126,
l101_unbalanced_truth,labels/l101_unbalanced_truth.csv,316.0,316.0,unclassified,contract_truth,detector_contract_or_rule_truth,contract,,False,v126,
l1_audit_issue_truth,labels/l1_audit_issue_truth.csv,621.0,617.0,unclassified,contract_truth,detector_contract_or_rule_truth,contract,,False,v126,
l201_just_below_threshold_truth,labels/l201_just_below_threshold_truth.csv,457.0,457.0,unclassified,contract_truth,detector_contract_or_rule_truth,contract,,False,v126,
manual_entry_population_truth,labels/manual_entry_population_truth.csv,86811.0,86811.0,L3-02,contract_truth,detector_contract_or_rule_truth,contract,true,False,v126,
missing_corrupted_description_truth,labels/missing_corrupted_description_truth.csv,428.0,428.0,unclassified,contract_truth,detector_contract_or_rule_truth,contract,,False,v126,
monthly_pattern_shift_truth,labels/monthly_pattern_shift_truth.csv,346.0,346.0,D02,contract_truth,detector_contract_or_rule_truth,contract,true,True,v126,
reversal_strict_truth,,,,L2-05,contract_truth,detector_contract_or_rule_truth,contract,true,False,v126,
rule_truth,labels/rule_truth.csv,305924.0,185390.0,unclassified,contract_truth,detector_contract_or_rule_truth,contract,,False,v126,
rule_truth_D01,labels/rule_truth_D01.csv,840.0,840.0,D01,contract_truth,detector_contract_or_rule_truth,contract,true,False,v126,
rule_truth_D02,labels/rule_truth_D02.csv,497.0,497.0,D02,contract_truth,detector_contract_or_rule_truth,contract,true,False,v126,
rule_truth_L4_01,labels/rule_truth_L4_01.csv,964.0,964.0,L4-01,contract_truth,detector_contract_or_rule_truth,contract,true,False,v126,
rule_truth_L4_02,labels/rule_truth_L4_02.csv,99.0,,L4-02,contract_truth,detector_contract_or_rule_truth,contract,true,False,v126,
rule_truth_L4_03,labels/rule_truth_L4_03.csv,4015.0,4015.0,L4-03,contract_truth,detector_contract_or_rule_truth,contract,true,False,v126,
rule_truth_L4_04,labels/rule_truth_L4_04.csv,4091.0,4091.0,L4-04,contract_truth,detector_contract_or_rule_truth,contract,true,False,v126,
rule_truth_L4_05,labels/rule_truth_L4_05.csv,4964.0,4964.0,L4-05,contract_truth,detector_contract_or_rule_truth,contract,true,False,v126,
rule_truth_L4_06,labels/rule_truth_L4_06.csv,692.0,692.0,L4-06,contract_truth,detector_contract_or_rule_truth,contract,true,False,v126,
vague_or_risky_description_truth,labels/vague_or_risky_description_truth.csv,94.0,94.0,unclassified,contract_truth,detector_contract_or_rule_truth,contract,,False,v126,
wrong_period_non_audit_issue_truth,labels/wrong_period_non_audit_issue_truth.csv,140.0,140.0,L1-08,contract_truth,detector_contract_or_rule_truth,contract,true,False,v126,
account_activity_variance_exclusions,labels/account_activity_variance_exclusions.csv,96.0,10.0,D01,manifest_log,diagnostic_or_lineage_manifest,contract,false,False,v126,
approval_date_fill_manifest,labels/approval_date_fill_manifest.csv,17123.0,17123.0,unclassified,manifest_log,diagnostic_or_lineage_manifest,contract,,False,v126,
