case_id,tier,rules,period_end_leg,other_high_combos,fact
2018-2019-18,HIGH,L2-02+L3-02+L3-11+L4-01+L4-03,L4-03,"fictitious,embezzlement","S사는 X4년 연결 및 별도재무제표에서 제조되지 않거나 출고되지 않은 상품을 매출로 계상하는 등의 방법으로 매출 및 매출원가를 허위계상하고, 거래처에 자금을 대여한 후 이를 통해 매출 대금이 회수된 것으로 가장하여 대손상각비 계상을 회피함"
2012-라,HIGH,L3-02+L3-04+L3-11+L4-01+L4-03,L4-03,fictitious,"거래의 실질상 회사가 거래 당사자로 포함될 이유가 없었음에도 불구하고, 회사와 타사의 100% 자회사가 동 거래의 당사자인 것처럼 거래계약서 및 세금계산서를 작성하여 우회매출을 발생시킴으로써 매출 및 매출원가를 과대계상함. '09.12월에 매출이 대규모(848백만원, '09년 전체 매출의 24.9%)로 발생했고 이 중 735백만원은 신규 의료기기(ALSA)"
2012-자-나,HIGH,L1-05+L3-02+L3-04+L4-03,L4-03,"fictitious,approval",대표이사가 결산일에 문방구 약속어음을 회사에 제출하여 '미수금' 및 '자산수증이익'으로 계상한 후 익년 2월말에 회사 계좌에 입금하여 미수금이 회수된 것처럼 처리하여 자산수증이익을 허위계상
2011-가-다,HIGH,L2-03+L3-02+L3-11+L4-01+L4-03,L4-03,"fictitious,embezzlement","관리종목 지정을 회피할 목적으로 실제 거래가 없음에도 허위의 세금계산서를 발급하여 매출로 인식하였고, 출고되지 않은 상품까지 매출로 인식하였으며, 자회사 등 타사의 매출을 회사의 매출로 계상하는 등 매출 및 매출원가를 과대 계상. 매출의 대부분(85.0%)이 당기 중 신규사업에서 발생한 매출"
2011-나-사,HIGH,L1-05+L2-02+L3-04+L4-03,L4-03,"embezzlement,approval",전 대표이사가 대차대조표일 이후에 거액의 횡령금을 회사에 반환한 즉시 동 자금으로 완전자본잠식상태인 GG사 주식을 동사의 주주간 최근 매매가액에 비해 22.5배에 달하는 고가에 취득하였다는 점 등에서 회사 주장의 신뢰성을 충분히 의심할 수 있는 상황
2011-라-마,HIGH,L1-05+L2-02+L3-04+L4-03,L4-03,"embezzlement,approval",기중 유상증자 직후 선급금 지급 등의 명목으로 유출한 자금을 기말에 회수한 것처럼 회계처리하기 위해 업무집행지시자가 사채업자로부터 차입한 자금을 현금및현금성자산으로 허위계상(동 자금은 감사보고서 제출 익일에 인출되어 동 차입금 상환에 사용)
2009-라,HIGH,L3-02+L3-04+L4-03,L4-03,(NONE=sole),"S사는 X0년부터 X4년까지 원자재가 상승 및 제품가 하락 등으로 인하여 수익성이 악화되어 적자가 불가피해지자, 실제로 존재하지 아니하는 원재료 등(148억원)을 가공으로 계상"
2009-마,HIGH,L3-02+L3-04+L4-03,L4-03,(NONE=sole),K사는 X4년도말 현재 회사에 존재하지 않는 제품을 타처보관증을 위조하여 대차대조표에 계상하였음. 타처보관 재고자산이 총 재고자산의 50.2%로 금액적으로 중요하고 기간 중 입출고 내역이 전혀 없는 등 특이사항이 발견되었음에도 타처에 재고 보관여부를 직접 조회확인하지 않고 회사가 제시한 타처보관증(위조)만을 확인
A-2유형-아,HIGH,L3-04+L3-10+L4-03,L3-10+L4-03,(NONE=sole),"제15기에 회사는 비상장인 OO사 주식인수대금 중 기지급한 금액을 투자선급금으로 계상하였으나, 과대평가 결과를 기초로 OO사 주식의 장부가액을 계상하여 투자선급금을 과대계상. 지분법적용대상인 OO사 총자산의 93.1%는 △△사 주식으로 구성된 바, △△사는 사실상 무상매각이 예정되어 회수가능가액이 0원이었으나 주식가치 산정결과를 그대로 인용하여 지분법적용투"
2014-나(금융자문),HIGH,L3-02+L3-11+L4-01+L4-03,L4-03,fictitious,회사가 SPC를 이용하여 실제 PF사업을 영위하면서 발생하지도 않은 PF사업이익을 금융자문수수료로 위장하고 선인식하여 이익잉여금을 과대계상 하였음
