combo,case_id,fss_tier,topic,rules,overpromoted,fact
fictitious_entry_high,2018-2019-18,HIGH,수익통계,L2-02+L3-02+L3-11+L4-01+L4-03,False,"S사는 X4년 연결 및 별도재무제표에서 제조되지 않거나 출고되지 않은 상품을 매출로 계상하는 등의 방법으로 매출 및 매출원가를 허위계상하고, 거래처에 자금을 대여한 후 이를 통해 매출 대금이 회수된 것으로 가장하여 대손상각비 계상을 회피함"
fictitious_entry_high,2010-가-A,HIGH,수익통계,L2-03+L3-02+L4-01+L4-03,False,"前대표이사가 회사자금을 유출한 사실을 은폐하기 위하여 상품을 허위 매입하여 물류창고에 보관하고 있는 것처럼 조작하여 상품 재고자산 허위 계상, 허위 매입한 상품에 대하여 세금계산서를 발행·매출처리하여 매출채권 허위계상"
fictitious_entry_high,2010-아-G,HIGH,수익통계,L2-03+L3-02+L4-01+L4-03,False,"도급순위를 제고하기 위하여 도급계약서 등을 허위로 작성하는 방법으로 가공매출 및 가공매출원가를 계상하고, 이로 인해 발생한 순자산부족액을 은폐하기 위하여 가공자산 등을 계상하여 자기자본을 과대계상"
fictitious_entry_high,2010-나-Hh-2,HIGH,수익통계,L2-03+L3-02+L4-01+L4-03,False,회사는 상장폐지사유를 모면하기 위해 다른 회사간 상품거래에 개입하여 실물이동 없이 세금계산서 등을 수수하고 타인의 자금을 이용하여 자금거래가 있는 것처럼 가장하여 매출액 및 매출원가를 허위계상
fictitious_entry_high,A5-다-T,HIGH,중복자금유출,L1-05+L2-02+L3-02+L4-03,False,"대표이사가 회사자금을 무단 인출하고 이를 상환하지 못하고, 동 대표이사의 차입금에 담보로 제공한 회사예금이 상계처리되어 회사의 자금이 부족하자, 이를 은폐할 목적으로 제3자 명의로 발행된 양도성예금증서를 매입한 것처럼 회계장부 및 취득증빙 등을 조작하여 단기금융상품 722억원을 허위로 "
fictitious_entry_high,A5-마-V,HIGH,중복자금유출,L1-05+L2-02+L3-02+L4-03,False,"대표이사의 회사자금 무단인출로 현금시재가 장부잔액보다 106억원 부족한 것을 은폐하기 위하여, 사채업자로부터 일시적으로 빌린 자기앞수표 4매를 이용하여 현금및현금등가물 106억원을 허위계상하고 특수관계자와의 거래내용을 주석으로 기재하지 아니함"
fictitious_entry_high,A5-사-E,HIGH,중복자금유출,L1-05+L2-02+L3-02+L4-03,False,"대표이사가 회사자금을 무단 인출하였으나 이를 은폐하기 위해, 종업원에게 대여한 것처럼 허위의 금전소비대차계약서를 작성하는 방법으로 단기대여금을 허위로 계상하고 주석에도 종업원에게 대여한 것으로 허위표시한 사실이 있음"
fictitious_entry_high,2012-다,HIGH,수익통계,L3-02+L4-01+L4-04,False,관계기업 등과 공모하여 자사 주식 시세조종 목적으로 인출한 자금으로 보안장비를 매입한 것처럼 위장하여 재고자산을 허위계상한 후 이를 관계기업에 매출한 것처럼 매출을 허위 계상함으로써 상장폐지를 회피
fictitious_entry_high,2012-라,HIGH,수익통계 / 결산시점,L3-02+L3-04+L3-11+L4-01+L4-03,False,"거래의 실질상 회사가 거래 당사자로 포함될 이유가 없었음에도 불구하고, 회사와 타사의 100% 자회사가 동 거래의 당사자인 것처럼 거래계약서 및 세금계산서를 작성하여 우회매출을 발생시킴으로써 매출 및 매출원가를 과대계상함. '09.12월에 매출이 대규모(848백만원, '09년 전체 매출"
fictitious_entry_high,2012-자-나,HIGH,결산시점,L1-05+L3-02+L3-04+L4-03,False,대표이사가 결산일에 문방구 약속어음을 회사에 제출하여 '미수금' 및 '자산수증이익'으로 계상한 후 익년 2월말에 회사 계좌에 입금하여 미수금이 회수된 것처럼 처리하여 자산수증이익을 허위계상
fictitious_entry_high,2012-타-가,HIGH,중복자금유출 / 수익통계,L1-05+L2-02+L3-02+L4-01,False,"업무집행지시자(회장)의 배임·횡령, 가공매출 계상 등 불법행위의 결과로 회사에 존재하지 않는 예금 및 약정투자자산을 통장, 은행조회서 등을 위조하여 실재하는 것처럼 회계처리"
fictitious_entry_high,2011-가-다,HIGH,수익통계,L2-03+L3-02+L3-11+L4-01+L4-03,False,"관리종목 지정을 회피할 목적으로 실제 거래가 없음에도 허위의 세금계산서를 발급하여 매출로 인식하였고, 출고되지 않은 상품까지 매출로 인식하였으며, 자회사 등 타사의 매출을 회사의 매출로 계상하는 등 매출 및 매출원가를 과대 계상. 매출의 대부분(85.0%)이 당기 중 신규사업에서 발생한"
fictitious_entry_high,2011-가-라,HIGH,수익통계,L2-03+L3-02+L4-01,False,"홍콩에 설립한 페이퍼컴퍼니 및 국내 하청업체 등을 이용하여 가공의 제품, 재공품 등 매출거래와 원재료 매입거래를 발생시켜 재고자산, 매출채권 및 매입채무, 매출 및 매출원가를 허위계상"
fictitious_entry_high,2015-가,HIGH,수익통계,L2-03+L3-02+L3-11+L4-01,False,매출액이 30억원에 미달시 관리종목으로 지정될 가능성이 높은 회사가 생산·판매되지 않은 제품에 대한 허위의 세금계산서·거래명세표 등을 이용하여 매매거래가 있었던 것처럼 허위의 매출을 계상. 인터넷전화기 매출 거래와 관련하여 매출처인 OO㈜으로부터 받은 대가와 외주가공처인 ㈜△△에 지급한
fictitious_entry_high,2015-다,MEDIUM,수익통계,L2-03+L3-02+L4-03,True,회사는 자본잠식으로 인해 관리종목으로 지정되는 것을 회피하기 위해 부실채권을 우량 거래처의 개별 매출채권 및 선급금 잔액에 안분하는 방식으로 매출채권 등을 허위계상하여 당기순이익 및 자기자본을 과대계상함. 감사인이 발송한 조회서 상의 허위잔액에 대해 '이상없음'을 적시하여 회신하도록 거
fictitious_entry_high,2015-라,MEDIUM,계정분류,L2-03+L3-02+L4-03,True,"타처보관 재고자산 등 수량 조작, 부실채권을 가공의 재고자산으로 대체계상, 재고자산 단가를 임의적용하거나 원재료 매입단가를 부풀리는 방법으로 재고자산을 과대계상함"
fictitious_entry_high,2015-아,HIGH,중복자금유출,L1-05+L2-02+L3-02+L4-03,False,"자회사를 설립하여 6백만불을 송금하고, 송금후 1~2일내 전액 불법인출하여 자회사가 보유한 자산이 없는 등 지분법적용투자주식의 가치가 없음에도 불구하고, 자회사가 송금받은 거액의 예금자산을 보유하고 있는 것처럼 은행 조회서를 위조하는 등의 방법으로 자회사에 대한 지분법 적용투자주식을 허"
fictitious_entry_high,A-2유형-가,HIGH,중복자금유출 / 수익통계,L1-05+L2-02+L3-02+L4-01+L4-03,False,"회사는 제37기에 대표이사가 사채업자로부터 자금을 차입하여 경영권 취득후 회사자금을 무단 인출하고 이를 은폐하기 위하여 단기대여금을 과대계상하는 한편, 상품매입으로 처리한 후 가공의 매출을 계상함으로써 매출채권 과대계상"
fictitious_entry_high,A-2유형-나,HIGH,수익통계,L2-03+L3-02+L4-01,False,"(주)□□사, (주)⃝⃝사 3자간 허위매출 순환거래에 개입하여 매출 및 매출원가를 과대계상함"
fictitious_entry_high,A-2유형-다,HIGH,수익통계,L2-03+L3-02+L4-01,False,"관리종목 지정 회피를 위하여 실제 매출·매입거래가 없었음에도 (주)□□사, (주)⃝⃝사와의 매출채권 및 매입채무를 허위계상"
fictitious_entry_high,A-2유형-자,HIGH,중복자금유출,L1-05+L2-02+L3-02+L4-03,False,회사 자금의 부당인출을 은폐할 목적으로 ⃝⃝사와 허위의 영업권 이전 계약서를 작성하고 가공의 선급금을 계상. 회사 자금의 부당인출을 은폐할 목적으로 주식 취득 대금을 지급한 것처럼 회계처리하여 지분법적용투자주식을 과대계상함
fictitious_entry_high,2014-가,HIGH,수익통계,L3-02+L4-01+L4-03+L4-04,False,"N사 등 3개사와 특수필름 판매계약, P사 등 2개사와 동 필름 생산을 위한 원재료 구매계약을 각각 허위로 체결한 후, 관련 매출·매입 세금계산서, 거래명세서 등 서류도 허위로 작성하여 매출액·매출원가·매출채권 및 매입채무를 과대계상 하였음"
fictitious_entry_high,2014-다,HIGH,계정분류,L3-02+L4-03+L4-04,False,"계열회사를 합병하면서 승계한 불량 매출채권 등 부실자산을 재무제표에 즉시 반영하여 손실처리 할 경우 재무상황이 크게 악화된다는 사실을 인식하고, 이를 숨기기 위해 가공의 재고자산 및 유형자산으로 대체 계상하여 자기자본을 과대계상 하였음"
