document_id,company_code,fiscal_year,fiscal_period,posting_date,semantic_scenario_id,business_process,document_type,source,counterparty_type,reference,line_count,debit_total,credit_total,top_gl_accounts,line_text_sample
4554e464-83f4-4d3f-92d3-a411247143ac,C001,2024,2,2024-02-14 12:27:37,A2R_ASSET_ACQUISITION,A2R,KR,automated,Vendor,INV-C001-2024-955203-C001-2024-KR-955203,2,3777672.0,3777672.0,"151900,2000",equipment project progress billing | offsetting normal accounting line
353d4c82-8264-4e26-90e2-a2110a0582c6,C001,2022,12,2022-12-26 12:23:50,A2R_DEPRECIATION,A2R,SA,adjustment,InternalDepartment,JE-C001-2022-1487400-C001-2022-SA-1487400,2,1647623.0,1647623.0,"681100,139100",scheduled intangible amortization | offsetting normal accounting line
7d7c5c6d-8417-4e80-918a-b0f083ef4767,C001,2023,3,2023-03-28 17:49:57,A2R_DEPRECIATION,A2R,SA,automated,InternalDepartment,AMORT-C001-2023-Q1,14,5730094877.0,5730094877.0,"681100,139100",정상 무형자산 상각비 | 정상 무형자산 상각누계
9b115937-8536-42bb-91cb-bec3b44eb805,C001,2022,1,2022-01-31 10:47:40,A2R_DEPRECIATION,R2R,SA,adjustment,InternalDepartment,ACCR-REV-C001-202201-910561,2,33997939.0,33997939.0,"681100,139100",normal linked accrual debit | normal linked accrual credit
bf7fae3f-8b2e-4698-9fa1-bbf465780c1d,C001,2022,5,2022-05-31 12:40:41,A2R_DEPRECIATION,R2R,SA,manual,InternalDepartment,ACCR-REV-C001-202205-910505,2,39424967.0,39424967.0,"681100,139100",normal linked accrual debit | normal linked accrual credit
952d570d-8dc3-45dc-9c5d-ad11a61a9b47,C001,2024,10,2024-10-02 11:56:17,H2R_PAYROLL_ACCRUAL,H2R,SA,automated,Employee,EXP-C001-2024-1251805-C001-2024-SA-1251805,2,64061400.0,64061400.0,"117900,1000",travel and expense advance settlement | offsetting normal accounting line
62a56c78-859f-4a69-9dd0-b398b103e068,C001,2024,6,2024-06-30 15:23:00,H2R_PAYROLL_ACCRUAL,R2R,SA,adjustment,InternalDepartment,ACCR-REV-C001-202406-910458,2,57083438.0,57083438.0,"6100,2000",normal linked accrual debit | normal linked accrual credit
8bb84658-869d-4c00-92b0-b52564b3da08,C001,2022,3,2022-03-31 13:40:37,H2R_PAYROLL_ACCRUAL,R2R,SA,manual,InternalDepartment,ACCR-REV-C001-202203-910170,2,72320510.0,72320510.0,"6100,2000",normal linked accrual debit | normal linked accrual credit
ab697a6d-935e-4879-9495-5923d04755df,C001,2024,11,2024-11-05 18:29:18,H2R_PAYROLL_PAYMENT,H2R,HR,adjustment,Employee,EXP-C001-2024-000046-ab697a6d,4,116350.0,116350.0,"500300,200250",급여 지급 이체
5f0c633d-f7ff-44d2-9ea8-feda05831835,C001,2022,5,2022-05-04 11:00:15,H2R_PAYROLL_PAYMENT,H2R,HR,automated,Employee,EXP-C001-2022-000470-5f0c633d,2,346458.0,346458.0,"500300,200250",급여 지급 이체
d3f9ac7e-8149-48e1-83f2-7fad1b595cb0,C001,2023,6,2023-06-09 12:43:50,H2R_PAYROLL_PAYMENT,H2R,HR,interface,Employee,EXP-C001-2023-000110-d3f9ac7e,2,10089.0,10089.0,"500300,200250",급여 지급 이체
6aa8fce5-cb6e-4956-94a9-b4ffbb8d1448,C001,2023,11,2023-11-27 11:06:29,H2R_PAYROLL_PAYMENT,H2R,HR,manual,Employee,EXP-C001-2023-000079-6aa8fce5,4,144703.0,144703.0,"500300,200250",급여 지급 이체
18600483-3410-4d2c-ba99-9c4fbcce57ac,C001,2022,3,2022-03-30 10:54:55,H2R_PAYROLL_PAYMENT,H2R,HR,recurring,Employee,EXP-C001-2022-000426,3,119206.0,119206.0,"200250,500300",급여 지급 이체
bced1433-8c12-4f69-97e0-b43430b32e79,C001,2024,9,2024-09-20 10:36:00,IC_INTERCOMPANY_SALE,Intercompany,IC,automated,IntercompanyAffiliate,IC-SVC-C003-2024-09-64186,2,24394186.0,24394186.0,"1150,4500",normal related-party service settlement
4ddfbd5d-8fd6-4f0d-9a89-bb8644c5a037,C001,2023,8,2023-08-21 18:34:23,MFG_COGS_RECOGNITION,MFG,SA,automated,InternalDepartment,MFG-COST-C001-2023-08,14,2090168022.0,2090168022.0,"5000,1200",normal monthly cost of sales recognition
e977573a-87eb-487e-9887-aa1171f7a5ee,C001,2023,2,2023-02-07 10:09:47,MFG_WIP_ACCOUNTING,MFG,SA,automated,InternalDepartment,MFG-C001-2023-1437807-C001-2023-SA-1437807,2,1391624.0,1391624.0,"123100,5000",normal production WIP accumulation | offsetting normal accounting line
8d7b3bdc-97b4-41b2-95d0-2efb642572f6,C001,2022,3,2022-03-16 10:27:15,O2C_CASH_RECEIPT,O2C,DZ,automated,Bank,RCP:REC-C001-0000000004,2,229972.0,229972.0,"1000,1100",Customer Receipt REC-C001-0000000004 - C-000016
f658908f-8fc7-49fc-969f-af11580c050d,C001,2023,5,2023-05-12 14:41:43,O2C_CONTRACT_ACCOUNTING,O2C,DR,automated,Customer,BILL-C001-2023-1093400-C001-2023-DR-1093400,2,8178524.0,8178524.0,"231100,1100",customer advance billing before performance | offsetting normal accounting line
5326406e-8299-4129-9512-ae2d4c74da0a,C001,2024,3,2024-03-12 22:57:01,O2C_CUSTOMER_INVOICE,O2C,DR,adjustment,Customer,INV-C001-2024-920306-C001-2024-KR-920306,2,893500.0,893500.0,"1100,4000",offsetting normal accounting line
e1a3b76d-e560-48ad-a189-a7b0d23ae820,C001,2023,1,2023-01-30 08:01:59,O2C_CUSTOMER_INVOICE,O2C,DR,automated,Bank,SO-C001-2023-000254-e1a3b76d,2,946280.0,946280.0,"100030,4000",외화 현금 환전 | 기술료 수익 - 뱅킹파트너스(주) 제3 [DR]
