document_id,company_code,fiscal_year,fiscal_period,posting_date,semantic_scenario_id,business_process,document_type,source,counterparty_type,reference,line_count,debit_total,credit_total,top_gl_accounts,line_text_sample
4554e464-83f4-4d3f-92d3-a411247143ac,C001,2024,2,2024-02-14 09:42:01,A2R_ASSET_ACQUISITION,A2R,KR,automated,Vendor,INV-C001-2024-955203-C001-2024-KR-955203,2,3777672.0,3777672.0,"151900,2000",equipment project progress billing | offsetting normal accounting line
353d4c82-8264-4e26-90e2-a2110a0582c6,C001,2022,12,2022-12-26 06:38:14,A2R_DEPRECIATION,A2R,SA,adjustment,InternalDepartment,JE-C001-2022-1487400-C001-2022-SA-1487400,2,6525283.0,6525283.0,"681100,139100",scheduled intangible amortization | offsetting normal accounting line
7d7c5c6d-8417-4e80-918a-b0f083ef4767,C001,2023,3,2023-03-28 17:10:00,A2R_DEPRECIATION,A2R,SA,automated,InternalDepartment,AMORT-C001-2023-Q1,2,1144431988.0,1144431988.0,"681100,139100",정상 무형자산 상각비 | 정상 무형자산 상각누계
9b115937-8536-42bb-91cb-bec3b44eb805,C001,2022,1,2022-01-31 17:51:57,A2R_DEPRECIATION,R2R,SA,adjustment,InternalDepartment,ACCR-REV-C001-202201-910561,2,33997939.0,33997939.0,"681100,139100",normal linked accrual debit | normal linked accrual credit
bf7fae3f-8b2e-4698-9fa1-bbf465780c1d,C001,2022,5,2022-05-31 17:35:05,A2R_DEPRECIATION,R2R,SA,manual,InternalDepartment,ACCR-REV-C001-202205-910505,2,39424967.0,39424967.0,"681100,139100",normal linked accrual debit | normal linked accrual credit
952d570d-8dc3-45dc-9c5d-ad11a61a9b47,C001,2024,10,2024-10-02 08:11:41,H2R_PAYROLL_ACCRUAL,H2R,SA,automated,Employee,EXP-C001-2024-1251805-C001-2024-SA-1251805,2,64061400.0,64061400.0,"117900,1000",travel and expense advance settlement | offsetting normal accounting line
62a56c78-859f-4a69-9dd0-b398b103e068,C001,2024,6,2024-06-30 18:58:46,H2R_PAYROLL_ACCRUAL,R2R,SA,adjustment,InternalDepartment,ACCR-REV-C001-202406-910458,2,57083438.0,57083438.0,"6100,2000",normal linked accrual debit | normal linked accrual credit
8bb84658-869d-4c00-92b0-b52564b3da08,C001,2022,3,2022-03-31 18:10:10,H2R_PAYROLL_ACCRUAL,R2R,SA,manual,InternalDepartment,ACCR-REV-C001-202203-910170,2,72320510.0,72320510.0,"6100,2000",normal linked accrual debit | normal linked accrual credit
09b66008-03d5-4041-9327-5c70b101f72c,C001,2022,8,2022-08-04 09:56:19,H2R_PAYROLL_PAYMENT,H2R,HR,adjustment,Employee,EXP-C001-2022-000233-09b66008,4,888462.0,888462.0,"500230,500730,100030,100070",급여 지급 이체
56b6544d-c5e9-4fb9-aba5-f2f6120f373f,C001,2024,5,2024-05-21 18:07:20,H2R_PAYROLL_PAYMENT,H2R,HR,automated,Employee,EXP-C001-2024-000131-56b6544d,4,190772.0,190772.0,"200630,500740,500360",급여 지급 이체
