document_id,company_code,fiscal_year,fiscal_period,posting_date,semantic_scenario_id,business_process,document_type,source,counterparty_type,reference,line_count,debit_total,credit_total,top_gl_accounts,line_text_sample
9dbe589a-0c67-4589-86ba-5edd1ad76ec0,C001,2024,7,2024-07-17 11:10:04,A2R_ASSET_ACQUISITION,A2R,AA,adjustment,VendorFixedAsset,FA-C001-2024-001003,2,21560053.0,21560053.0,"1500,2900",C001:유형자산 취득 | 설비 취득
4593b76b-d1e5-42dd-af11-bb78c808e6d3,C001,2024,10,2024-10-22 16:30:40,A2R_ASSET_ACQUISITION,A2R,AA,automated,Bank,FA-C001-2024-000960-C001-2024-AA-000438,2,558897.0,558897.0,"1500,2000",C001:CAPEX 계상 | 유형자산 취득 ref-AA
2cec1534-bccf-406f-9494-7a3f6ceaa03a,C001,2023,3,2023-03-23 17:32:21,A2R_ASSET_ACQUISITION,A2R,AA,manual,VendorFixedAsset,FA-C001-2023-000402,2,9022500.0,9022500.0,"1550,2900",설비 취득 [AA] | C001:CAPEX 계상
1a0af397-b4e2-4db3-9711-a8c4e393e3eb,C001,2024,5,2024-05-03 14:27:26,A2R_ASSET_ACQUISITION,A2R,AA,recurring,InternalDepartment,FA-C001-2024-000628-C001-2024-AA-000204,4,206473.0,206473.0,"2000,1550,1500",C001:설비 취득 | 유형자산 취득 [AA] | 유형자산 취득
7ea3c438-8eda-47e2-807c-ccd1e1ff9e42,C001,2022,5,2022-05-24 08:47:23,A2R_ASSET_ACQUISITION,A2R,KR,adjustment,VendorFixedAsset,FA-C001-2022-000919-C001-2022-KR-003412,2,2121537.0,2121537.0,"1500,2900",CAPEX 계상 ref-KR | CAPEX 계상 [KR]
5233a1cc-9291-49fe-8f7f-ed4455ffdae0,C001,2024,10,2024-10-02 17:58:42,A2R_ASSET_ACQUISITION,A2R,KR,automated,VendorFixedAsset,FA-C001-2024-000491,2,116741.0,116741.0,"1550,2000",C001:설비 취득 | CAPEX 계상 ref-KR
054af33e-1fed-45c6-a595-6a5fb7f048ec,C001,2024,12,2024-12-05 10:30:13,A2R_ASSET_ACQUISITION,A2R,KR,manual,VendorFixedAsset,FA-C001-2024-000889-C001-2024-KR-008135,2,133769.0,133769.0,"1500,2000",유형자산 취득 ref-KR | C001:CAPEX 계상
1d79aef3-7cf9-44f5-925b-99bc4ae74755,C001,2023,4,2023-04-06 08:39:39,A2R_ASSET_ACQUISITION,A2R,KR,recurring,VendorFixedAsset,FA-C001-2023-000655,2,1000.0,1000.0,"1550,2900",C001:유형자산 취득 | C001:CAPEX 계상
780b5cc7-dd5f-4d4c-a0de-60d0c31df6ff,C001,2022,4,2022-04-26 09:10:43,A2R_DEPRECIATION,A2R,AF,adjustment,InternalDepartment,FA-C001-2022-000128-C001-2022-AF-000390,2,9340194.0,9340194.0,"6000,1510",감가상각비 [AF] | C001:상각비 계상
f907f85c-84c9-4d81-836b-1a3cfd1b2dcc,C001,2024,5,2024-05-29 09:08:24,A2R_DEPRECIATION,A2R,AF,automated,InternalDepartment,FA-C001-2024-000458-C001-2024-AF-000486,4,8744766.0,8744766.0,"6050,1510",C001:상각비 계상 | C001:월차 감가상각
40e5bca9-9adf-4273-8411-48d68b7e15d6,C001,2023,6,2023-06-28 14:28:39,A2R_DEPRECIATION,A2R,AF,manual,InternalDepartment,FA-C001-2023-000206,2,10550638.0,10550638.0,"6000,1510",감가상각누계액 [AF] | 감가상각누계액 ref-AF
05a49701-446b-4592-aa0a-7a184c9a201e,C001,2022,2,2022-02-14 14:43:30,A2R_DEPRECIATION,A2R,AF,recurring,InternalDepartment,FA-C001-2022-000348,2,2414622.0,2414622.0,"6050,1510",감가상각비 | C001:감가상각비
